table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
public,adherence_summary,1,id,uuid,uuid,NO,gen_random_uuid()
public,adherence_summary,2,patient_id,uuid,uuid,NO,
public,adherence_summary,3,window_days,integer,int4,NO,
public,adherence_summary,4,period_end_date,date,date,NO,
public,adherence_summary,5,days_with_reading,integer,int4,NO,
public,adherence_summary,6,total_readings,integer,int4,NO,
public,adherence_summary,7,adherence_pct,numeric,numeric,NO,
public,adherence_summary,8,readings_per_week,numeric,numeric,NO,
public,adherence_summary,9,max_streak_days,integer,int4,NO,
public,adherence_summary,10,current_streak_days,integer,int4,NO,
public,adherence_summary,11,max_gap_days,integer,int4,NO,
public,adherence_summary,12,last_reading_at,timestamp with time zone,timestamptz,YES,
public,adherence_summary,13,days_since_last_reading,integer,int4,YES,
public,adherence_summary,14,abandoned_flag,boolean,bool,NO,false
public,adherence_summary,15,retention_30_flag,boolean,bool,YES,
public,adherence_summary,16,complete_days,integer,int4,NO,0
public,adherence_summary,17,completeness_pct,numeric,numeric,NO,0
public,adherence_summary,18,expected_readings,integer,int4,NO,0
public,adherence_summary,19,slot_coverage_pct,numeric,numeric,NO,0
public,adherence_summary,20,daily_slots,jsonb,jsonb,NO,'[]'::jsonb
public,adherence_summary,21,workflow_run_id,uuid,uuid,YES,
public,adherence_summary,22,calculated_at,timestamp with time zone,timestamptz,NO,now()
public,adherence_summary,23,created_at,timestamp with time zone,timestamptz,NO,now()
public,adherence_summary,24,updated_at,timestamp with time zone,timestamptz,NO,now()
public,alerts,1,id,uuid,uuid,NO,gen_random_uuid()
public,alerts,2,event_id,uuid,uuid,NO,gen_random_uuid()
public,alerts,3,patient_id,uuid,uuid,NO,
public,alerts,4,source_reading_id,uuid,uuid,YES,
public,alerts,5,alert_type,text,text,NO,
public,alerts,6,severity,text,text,NO,
public,alerts,7,status,text,text,NO,'open'::text
public,alerts,8,reason,text,text,NO,
public,alerts,9,metadata,jsonb,jsonb,NO,'{}'::jsonb
public,alerts,10,acknowledged_at,timestamp with time zone,timestamptz,YES,
public,alerts,11,closed_at,timestamp with time zone,timestamptz,YES,
public,alerts,12,acknowledged_by_professional_id,uuid,uuid,YES,
public,alerts,13,created_at,timestamp with time zone,timestamptz,NO,now()
public,alerts,14,source_event_id,uuid,uuid,YES,
public,alerts,15,workflow_run_id,uuid,uuid,YES,
public,clinical_tasks,1,id,uuid,uuid,NO,gen_random_uuid()
