table_name,constraint_name,constraint_type,column_name,referenced_table,referenced_column
adherence_summary,2200_19421_10_not_null,CHECK,,,
adherence_summary,2200_19421_11_not_null,CHECK,,,
adherence_summary,2200_19421_14_not_null,CHECK,,,
adherence_summary,2200_19421_16_not_null,CHECK,,,
adherence_summary,2200_19421_17_not_null,CHECK,,,
adherence_summary,2200_19421_18_not_null,CHECK,,,
adherence_summary,2200_19421_19_not_null,CHECK,,,
adherence_summary,2200_19421_1_not_null,CHECK,,,
adherence_summary,2200_19421_20_not_null,CHECK,,,
adherence_summary,2200_19421_22_not_null,CHECK,,,
adherence_summary,2200_19421_23_not_null,CHECK,,,
adherence_summary,2200_19421_24_not_null,CHECK,,,
adherence_summary,2200_19421_2_not_null,CHECK,,,
adherence_summary,2200_19421_3_not_null,CHECK,,,
adherence_summary,2200_19421_4_not_null,CHECK,,,
adherence_summary,2200_19421_5_not_null,CHECK,,,
adherence_summary,2200_19421_6_not_null,CHECK,,,
adherence_summary,2200_19421_7_not_null,CHECK,,,
adherence_summary,2200_19421_8_not_null,CHECK,,,
adherence_summary,2200_19421_9_not_null,CHECK,,,
adherence_summary,adherence_summary_adherence_pct_check,CHECK,,adherence_summary,adherence_pct
adherence_summary,adherence_summary_check,CHECK,,adherence_summary,days_with_reading
adherence_summary,adherence_summary_check,CHECK,,adherence_summary,window_days
adherence_summary,adherence_summary_check1,CHECK,,adherence_summary,max_streak_days
adherence_summary,adherence_summary_check1,CHECK,,adherence_summary,window_days
adherence_summary,adherence_summary_check2,CHECK,,adherence_summary,current_streak_days
adherence_summary,adherence_summary_check2,CHECK,,adherence_summary,window_days
adherence_summary,adherence_summary_check3,CHECK,,adherence_summary,max_gap_days
adherence_summary,adherence_summary_check3,CHECK,,adherence_summary,window_days
adherence_summary,adherence_summary_check4,CHECK,,adherence_summary,window_days
adherence_summary,adherence_summary_check4,CHECK,,adherence_summary,complete_days
adherence_summary,adherence_summary_completeness_pct_check,CHECK,,adherence_summary,completeness_pct
adherence_summary,adherence_summary_daily_slots_check,CHECK,,adherence_summary,daily_slots
adherence_summary,adherence_summary_days_since_last_reading_check,CHECK,,adherence_summary,days_since_last_reading
adherence_summary,adherence_summary_expected_readings_check,CHECK,,adherence_summary,expected_readings
adherence_summary,adherence_summary_readings_per_week_check,CHECK,,adherence_summary,readings_per_week
adherence_summary,adherence_summary_slot_coverage_pct_check,CHECK,,adherence_summary,slot_coverage_pct
adherence_summary,adherence_summary_total_readings_check,CHECK,,adherence_summary,total_readings
adherence_summary,adherence_summary_window_days_check,CHECK,,adherence_summary,window_days
adherence_summary,adherence_summary_patient_id_fkey,FOREIGN KEY,patient_id,patients,id
adherence_summary,adherence_summary_workflow_run_id_fkey,FOREIGN KEY,workflow_run_id,workflow_runs,id
adherence_summary,adherence_summary_pkey,PRIMARY KEY,id,adherence_summary,id
adherence_summary,adherence_summary_patient_id_window_days_period_end_date_key,UNIQUE,period_end_date,adherence_summary,patient_id
adherence_summary,adherence_summary_patient_id_window_days_period_end_date_key,UNIQUE,period_end_date,adherence_summary,period_end_date
